general_cap_classification,summary,label
LACK OF SERVICE,"beginning they called 911 three times while their ex-significant other violated a Protection From Abuse Order. The complainant states that they waited untilthe following day for police, however, no one ever came.",low
DEPARTMENTAL VIOLATIONS,they did not receive proper service and were improperly ticketed by an officer while in the confines of . The complainant was pulled over by a police van. The officer told the complainant that they cut them off. The complainant supplied their information to the officer. The officer asked the complainant about their company truck and told them that a ticket will be mailed to the registered company. The officer refused to tell the complainant why the ticket was issued.,medium
LACK OF SERVICE,"The complainant called 911due to being assaulted by a neighbor. Officers did not respond to the call that night so the complainant went to the district the next day to file a police report. The complainant was informed that there was nothing they could do to help because there was no evidence, as in photos or footage of the incident. The complainant just wanted a police report.",low
CRIMINAL ALLEGATION,or  orthey are missing property and have been harassed by officers assigned to the Narcotic Strike Force Unit.,high
DEPARTMENTAL VIOLATIONS,they were falsely detained by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused by unknown officers.,high
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
UNPROFESSIONAL CONDUCT,or they were treated in a rude manner and did not receive proper service from an officer assigned to .,medium
PHYSICAL ABUSE,they were physically abused by officers assigned to SWAT while in the confines of .,high
DEPARTMENTAL VIOLATIONS,they are missing property after being investigated by officers assigned to the Highway Patrol Unit.,medium
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,an unknown  officer failed to follow departmental policy.,medium
PHYSICAL ABUSE,their property is missing and they were physically abused by officers assigned to .,high
DEPARTMENTAL VIOLATIONS,their property was entered improperly and they were verbally abused by unknown officers in the confines of .,medium
DEPARTMENTAL VIOLATIONS,they did not receive proper service from officers assigned to .,medium
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused and their civil rights were violated by officers assigned to the 19th and s.,high
DEPARTMENTAL VIOLATIONS,they were improperly stopped and searched by unknown officers.,medium
DEPARTMENTAL VIOLATIONS,United States Currency is missing from their property after a warrant was served in the confines of .,medium
DEPARTMENTAL VIOLATIONS,an officer assigned to  abused their authority as a police officer.,medium
PHYSICAL ABUSE,"they were improperly stopped and searched, physically abused and improperly issued traffic citations by unknown officers within the confines of .",high
VERBAL ABUSE,they were verbally abused by an unknown officer within the confines of .,medium
VERBAL ABUSE,they did not receive proper service from an officer and were verbally abused by a detective within the confines of .,medium
PHYSICAL ABUSE,they have been harassed by officers assigned to .,high
LACK OF SERVICE,officers and detectives failed to properly investigate an incident that occurred in the confines of .,low
DEPARTMENTAL VIOLATIONS,their property was damaged and they were improperly stopped and searched by officers within the confines of .,medium
LACK OF SERVICE,they did not receive proper service from unknown officers within the confines of .,low
DEPARTMENTAL VIOLATIONS,an officer assigned to  improperly displayed his firearm.,medium
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
PHYSICAL ABUSE,"they were verbally abused, harassed and treated unprofessionally by officers assigned to .",high
DEPARTMENTAL VIOLATIONS,an officer assigned to  did not follow proper police procedure.,medium
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
LACK OF SERVICE,they did not receive proper service from unknown officers while in the confines of .,low
DEPARTMENTAL VIOLATIONS,they were verbally abused and departmental policy was violated by an officer assigned to .,medium
PHYSICAL ABUSE,they were physically abused and falsely arrested by officers within the confines of .,high
LACK OF SERVICE,they did not receive proper service by officers within the confines of .,low
DEPARTMENTAL VIOLATIONS,they were treated unprofessionally by an officer assigned to .,medium
CIVIL RIGHTS COMPLAINT,"on an unknown date and time, their civil rights were violated and they did not receive proper service from officers while in the confines of .",low
VERBAL ABUSE,they were verbally abused by an officer while in the confines of the Airport Unit.,medium
VERBAL ABUSE,they were verbally abused by an officer assigned to the Highway Patrol Unit within the confines of .,medium
NON-INVESTIGATORY INCIDENT,"on an unknown date, time, and location, an officer assigned to the office of Professional Responsibility provided false and misleading testimony during a court proceeding.",low
LACK OF SERVICE,on 11/1/19 they did not receive proper service from an officer within the confines of .,low
CRIMINAL ALLEGATION,a detective assigned to the Northwest Detective Division was involved in criminal activity within the confines of .,high
DEPARTMENTAL VIOLATIONS,they were improperly stopped by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,unknown officers violated departmental polices while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
HARASSMENT,an officer assigned to  abused their authority while in the confines of .,high
DEPARTMENTAL VIOLATIONS,they were improperly issued a parking citation from an officer and did not receive proper service from a supervisor while in the confines of .,medium
DEPARTMENTAL VIOLATIONS,departmental policies were violated by officers while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from unknown officers and an unknown dispatcher while in the confines of .,low
PHYSICAL ABUSE,they were treated unprofessionally and physically abused by an officer assigned to the Police Academy while in the confines of .,high
LACK OF SERVICE,a Southwest Detective Division detective did not properly investigate and falsely arrested them.,low
LACK OF SERVICE,they did not receive proper service from a detective and a sergeant assigned to Northeast Detective Division while in the confines of .,low
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by an officer and a supervisor while in the confines of .,medium
HARASSMENT,"they were harassed by off duty officers assigned to , within the confines of .",high
LACK OF SERVICE,they were treated unprofessionally and did not receive proper service from officers within the confines of .,low
UNPROFESSIONAL CONDUCT,"they did not receive proper service and were verbally abused by an officer, while in the confines of .",medium
DEPARTMENTAL VIOLATIONS,they did not receive proper service and authority was abused by officers while in the confines of .,medium
HARASSMENT,they did not receive proper service and were harassed by officers within the confines of .,high
VERBAL ABUSE,they were verbally abused by an unknown officer within the confines of .,medium
UNPROFESSIONAL CONDUCT,"they did not receive proper service and departmental policies were violated by an officer, along with being verbally abused by a civilian, both assigned to Neighborhood Services Unit.",medium
PHYSICAL ABUSE,"they were racially profiled, their civil rights were violated and they were physically abused by officers while in the confines of .",high
PHYSICAL ABUSE,they were physically and verbally abused by unknown officers while in the confines of .,high
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,they were improperly ticketed by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,a departmental policy was violated by unknown officers and they were verbally abused by a police supervisor while in the confines of .,medium
UNPROFESSIONAL CONDUCT,officers acted unprofessionally while in the confines of .,medium
PHYSICAL ABUSE,they were physically abused and did not receive proper service from officers while in the confines of,high
CRIMINAL ALLEGATION,their United States Currency went missing while in the confines of .,high
PHYSICAL ABUSE,they were falsely arrested and physically abused by officers assigned to .,high
PHYSICAL ABUSE,they were physically abused by an officer assigned to  while in the confines of .,high
UNPROFESSIONAL CONDUCT,"in the month of June 2019, they did not receive proper service from officers and were treated unprofessionally by a detective while in the confines of .",medium
VERBAL ABUSE,they were verbally abused by an officer while in the confines of .,medium
PHYSICAL ABUSE,they were harassed by an officer assigned to the Neighborhood Services Unit.,high
VERBAL ABUSE,they did not receive proper service from an officer assigned to .,medium
PHYSICAL ABUSE,they were physically abused by unknown officers while in the confines of .,high
DEPARTMENTAL VIOLATIONS,a departmental policy was violated and they did not receive proper service from an officer assigned to the Neighborhood Services Unit.,medium
VERBAL ABUSE,they were verbally abused by a police supervisor assigned to the Graphic Arts Unit.,medium
DEPARTMENTAL VIOLATIONS,departmental policies were violated and excessive force was used on them by officers while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from officers while in the confines of .,low
PHYSICAL ABUSE,they were physically abused and are missing property by officers while in the confines of .,high
LACK OF SERVICE,they did not receive proper service from officers while in the confines of .,low
PHYSICAL ABUSE,they witnessed physical abuse by an officer while in the confines of .,high
LACK OF SERVICE,they did not receive proper service and departmental policies were violated by officers while in the confines of .,low
PHYSICAL ABUSE,they were physically abused by officers while in the confines of .,high
FALSIFICATION,an allegation of criminal misconduct by an officer assigned to the Narcotics Field Unit was made in the confines of .,medium
PHYSICAL ABUSE,departmental policies were violated and they were physically abused by an officer while in the confines of .,high
LACK OF SERVICE,they did not receive proper service from officers while in the confines of .,low
UNPROFESSIONAL CONDUCT,they were verbally abused and treated unprofessionally by an officer while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from unknown officers while in the confines of .,low
DEPARTMENTAL VIOLATIONS,they were verbally abused and departmental policies were violated by a sergeant while in the confines of .,medium
DEPARTMENTAL VIOLATIONS,they observed a social media policy violation by an officer assigned to .,medium
VERBAL ABUSE,a motor vehicle code was violated and they were verbally abused by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,"an officer assigned to , violated the social media policy.",medium
VERBAL ABUSE,they did not receive proper service and were verbally abused by officers assigned to .,medium
LACK OF SERVICE,they did not receive proper service from sergeants and officers within the confines of .,low
LACK OF SERVICE,According to the complaintthey called 911 to report a parking violation but received no response after allowing it to ring 10 times. The complainant then saw an officer in the area and informed the officer of the violation. The complainant states the officer refused to issue the vehicle a ticket stating that it was only over the poles a little.,low
DEPARTMENTAL VIOLATIONS,"According to the complaintwhile driving in the area of 15th Street and Girard Avenue, a police vehicle flashed their lights at them. When the complainant pulled over to the side, the officer slowly passed their vehicle and continued down 15th Street. The complainant and the officer then reached a red light, where the complainant asked the officer if there was a problem. The officer responded with, Â¿shut the fuck upÂ¿. When the complainants passenger told the officer not to speak that way, the officer threatened to issue them a ticket. A few weeks later, the complainant received a ticket in the mail.",medium
PHYSICAL ABUSE,"while handcuffed and shackled, police threw the complainant's face first in a van. The complainant sustained several broken teeth due to this incident.",high
DEPARTMENTAL VIOLATIONS,"The complainantÂ¿s child was bullied and threatened while in police custody. An officer attempted to antagonize the child into a fight. The officer then proceeded to say that it would be a fight without a badge and gun. Another officer on location had to push the officer away from the complainantÂ¿s child. The complainant said that this officer attempted multiple times to get the child to fight back, so that the officer could inflict physical harm. One of the officers on location refused to give a badge number, when it was requested.",high
VERBAL ABUSE,"they parked their vehicle and as one of the complainants was opening the door for their spouse, an unmarked police car sped up past them towards a red light. The complainant said under their breath, Â¿Are you seriousÂ¿? The officer stopped the car, got out and began shouting at them but had to get back into the car because the car had been left in reverse; it began rolling. The complainants state that the officer again exited the vehicle and continued to shout at them for being disrespectful. The complainants believe that the officer was disproportionally angry and kept trying to escalate the situation, when there was no need.",medium
PHYSICAL ABUSE,"while in the confines of , they called police because of a disturbance they were having with their spouse. The complainant states that when the responding officers noticed that their spouse was a retired police officer, they immediately took the spouseÂ¿s side. The complainant also states that when they attempted to go upstairs, an officer pushed them into the banister and wall of their home.",high
LACK OF SERVICE,"the complainant was involved in an auto accident with a vehicle that was doubled parked. The complainant asked officers to ticket the other vehicle, but was told it was at the discretion of the officer. The complainant alleged they were falsely arrested by police for violating the Act 235 Law, but that they were in compliance with the law. After about twenty minutes, the officers realized the compliant possessed a non-lethal gun, but still detained them for further investigation. The complainant reported the officers did not understand the law, violated the complainantÂ¿s civil rights, placed handcuffs on the complainant that were too tight, causing pain to the complainantÂ¿s wrists.",high
DEPARTMENTAL VIOLATIONS,"on unknown dates and times, members of the department have committed crimes and violated numerous departmental policies which has forced the complainant to homelessness.",medium
LACK OF SERVICE,"Beginning September of 2020, while in the confines of , the complainant did not receive proper service from a  Officer. The officer has refused to take their police reports of a neighbor dispute. The complainant states that they have sent numerous emails to the officer, however, they have failed to respond. The complainant states that they have left numerous telephone messages as well. The officer contacted the complainant last week and told them that they have been tied up with other assignments during the holiday. The officer stated that they would visit the neighbor the following day, but did not. Instead, the officer arrived at the complainantÂ¿s residence unannounced.",low
DEPARTMENTAL VIOLATIONS,"while in the confines of , Narcotics Field Unit Officers violated departmental policies. The officers lied on a police report, planted drugs and money on them and violated their constitutional rights by going through their cellphone without a search warrant.  the officers arrested a person. The complainant states that the officers told that person that the complainant told them that there was drugs and money inside of the house. The complainant states that the officers have now put their life in danger.",medium
LACK OF SERVICE,"the complainant called 911 in reference to a noisy truck. The 911 dispatcher collected and confirmed the information provided by the complainant but then said that they could not understand the complainantÂ¿s English. The complainant was transferred to a translator who understood the complainantÂ¿s English, but forced the complainant to speak in French. When the complainant continued to speak in English, the dispatcher concluded that the complainant did not need any help and disconnected the call. The complainant believes that this was done in an effort to humiliate him.",low
LACK OF SERVICE,the complainant called the district for three hours requesting their assistance but believes the officers blocked them from being able to call the district or 911. The complainant went to a grocery store and was able to call 911. The complainant was able to get the money owed with the help of the responding officer. The complainant went back to  and the officers acted like they had no idea what was going on. The complainant asked a sergeant to make a report but was refused.,low
DEPARTMENTAL VIOLATIONS,unknown officers within the confines of  did not follow proper police procedure.,medium
DEPARTMENTAL VIOLATIONS,"they were verbally and physically abused, and subjected to an illegal search by officers assigned to .",medium
DEPARTMENTAL VIOLATIONS,they were improperly stopped by an officer assigned to .,medium
UNPROFESSIONAL CONDUCT,According to the complainantsthey did not receive proper service by a detective and an officer within in the confines of .,medium
VERBAL ABUSE,they were verbally abused by an off-duty officer assigned to  while in the confines of .,medium
HARASSMENT,they are being harassed by an officer assigned to .,high
HARASSMENT,"they are being harassed and intimidated by their neighbor, an off-duty police corporal assigned to , within the confines of .",high
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,officers assigned to  abused their power of authority.,medium
PHYSICAL ABUSE,on 10/13/18 they are missing property and were physically abused by  officers.,high
UNPROFESSIONAL CONDUCT,they did not receive proper service from officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused by unknown  officers.,high
DEPARTMENTAL VIOLATIONS,an unknown off-duty officer abused their police authority while in the confines of .,medium
PHYSICAL ABUSE,they were falsely arrested by an officer within the confines of .,high
DEPARTMENTAL VIOLATIONS,"they were falsely arrested by an officer from the Special Victims Unit, within the confines of .",medium
DEPARTMENTAL VIOLATIONS,they were improperly issued a parking citation within the confines of .,medium
DEPARTMENTAL VIOLATIONS,their property was improperly seized by an officer assigned to .,medium
LACK OF SERVICE,they did not receive proper service from unknown officers assigned to .,low
CIVIL RIGHTS COMPLAINT,they were improperly stopped and racially profiled by an officer assigned to .,low
LACK OF SERVICE,they did not receive proper service from a detective and two officers within the confines of .,low
VERBAL ABUSE,they were verbally abused and did not receive proper service from an officer assigned to .,medium
UNPROFESSIONAL CONDUCT,According to the complainantsthey were treated unprofessionally by officers assigned to .,medium
LACK OF SERVICE,According to the complainantsthey did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,According to the complainants they are missing property after being arrested by an officer assigned to .,medium
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,According to the complainantsunknown officers and detectives did not follow proper police procedures and treated them unprofessionally within the confines of .,medium
PHYSICAL ABUSE,they were physically abused by officers assigned to the Highway Patrol Unit.,high
UNPROFESSIONAL CONDUCT,According to the complainantsthey were verbally abused by officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,According to the complainantsthey are missing property and did not receive proper service from officers assigned to .,medium
DEPARTMENTAL VIOLATIONS,According to the complainantsthey did not receive proper service from an unknown dispatcher and police officers within the confines of .,medium
UNPROFESSIONAL CONDUCT,they were verbally abused by detectives within the confines of .,medium
DEPARTMENTAL VIOLATIONS,"they were verbally abused, improperly stopped and searched by officers within the confines of .",medium
CIVIL RIGHTS COMPLAINT,they were racially profiled by officers assigned to .,low
VERBAL ABUSE,they were verbally abused by an officer assigned to .,medium
DEPARTMENTAL VIOLATIONS,an officer did not follow proper procedure while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
PHYSICAL ABUSE,they were physically and verbally abused by an officer assigned to .,high
LACK OF SERVICE,they did not receive proper service from detectives assigned to Southwest Detective Division and officers assigned to .,low
HARASSMENT,they were harassed by unknown officers while in the confines of .,high
DEPARTMENTAL VIOLATIONS,they are missing money after officers conducted a search warrant in their residence within the confines of .,medium
DEPARTMENTAL VIOLATIONS,an  officer did not follow proper procedures while in the confines of .,medium
DEPARTMENTAL VIOLATIONS,they were are improperly stopped and searched by an officer assigned to .,medium
PHYSICAL ABUSE,they were physically and verbally abused by officers assigned to .,high
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
PHYSICAL ABUSE,they were physically abused by an unknown officer within the confines of .,high
DEPARTMENTAL VIOLATIONS,an officer damaged private property while in the confines of .,medium
HARASSMENT,they were harassed by an officer while in the confines of .,high
LACK OF SERVICE,they were verbally abused and did not receive proper service from a supervisor assigned to .,low
CIVIL RIGHTS COMPLAINT,"they were improperly stopped and searched, departmental policies were violated, and they were racially profiled by an officer assigned to .",low
DEPARTMENTAL VIOLATIONS,they did not receive proper service along with being improperly stopped and detained by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused by an officer duty officer within the confines of .,high
UNPROFESSIONAL CONDUCT,they were treated unprofessionally and were verbally abused by an officer while in the confines of .,medium
CRIMINAL ALLEGATION,their property was damaged and property is missing by unknown officers while in the confines of .,high
LACK OF SERVICE,they did not receive proper service from an unknown dispatcher and unknown  officers while in the confines of .,low
DEPARTMENTAL VIOLATIONS,"an officer, assigned to the Highway Patrol Unit, falsified official police documents, while in the confines of .",medium
NON-INVESTIGATORY INCIDENT,they were improperly issued a parking ticket by an officer assigned to the Traffic District within the confines of .,low
DEPARTMENTAL VIOLATIONS,departmental policies were violated by supervisors and an officer within the confines of .,medium
DEPARTMENTAL VIOLATIONS,they were improperly stopped by an officer while in the confines of .,medium
SEXUAL CRIME/MISCONDUCT,"beginning around  they had an inappropriate relationship with a police supervisor and were harassed via social media by a civilian employee, while in the confines of .",high
VERBAL ABUSE,they were verbally abused by officers assigned to Highway Patrol.,medium
LACK OF SERVICE,they did not receive proper service from an unknown officer within the confines of .,low
DEPARTMENTAL VIOLATIONS,they were falsely arrested/detained by unknown officers within in the confines of .,medium
PHYSICAL ABUSE,they were physically and verbally abused along with their home being illegally entered and searched.,high
PHYSICAL ABUSE,they were physically abused by unknown officers within the confines of .,high
PHYSICAL ABUSE,"they were physically abused, verbally abused and treated unprofessionally by officers and a supervisor while in the confines of .",high
UNPROFESSIONAL CONDUCT,they did not receive proper service from an officer assigned to .,medium
USE OF FORCE INTERNAL,departmental policies were violated by unknown officers while in the confines of .,high
DEPARTMENTAL VIOLATIONS,officers improperly searched their property while in the confines of .,medium
DEPARTMENTAL VIOLATIONS,unknown officers improperly searched their property while in the confines of .,medium
LACK OF SERVICE,they did not receive proper service from unknown officers assigned to .,low
PHYSICAL ABUSE,"they were physically abused, verbally abused and missing property from an unknown officer while in the confines of .",high
CIVIL RIGHTS COMPLAINT,they did not receive proper service and was discriminated against by an officer while in the confines of .,low
DEPARTMENTAL VIOLATIONS,they were improperly issued a citation by a sergeant assigned to .,medium
PHYSICAL ABUSE,they were physically abused by officers within .,high
CRIMINAL ALLEGATION,"they are alleging that an off duty officer, assigned to , is involved in criminal activity.",high
HARASSMENT,According to the complainantsthey were harassed by an off-duty officer within the confines of .,high
CRIMINAL ALLEGATION,they were physically abused by an off-duty officer assigned to .,high
UNPROFESSIONAL CONDUCT,they were treated unprofessionally and did not receive proper service from officers while in the confines of .,medium
CRIMINAL ALLEGATION,According to the complainantsthey were physically abused and harassed by an off-duty civilian employee and did not receive proper service from officers while in the confines of .,high
DEPARTMENTAL VIOLATIONS,an officer violated the social media policy while in the confines of .,medium
PHYSICAL ABUSE,they were physically abused by officers while in the confines of .,high
LACK OF SERVICE,they did not receive proper service from an officer while in the confines of .,low
DEPARTMENTAL VIOLATIONS,an officer assigned to  damaged their car.,medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally and did not receive proper service from an officer assigned to .,medium
PHYSICAL ABUSE,According to the complainantsthey were physically and verbally abused by an unknown sergeant and several officers assigned to .,high
PHYSICAL ABUSE,they were physically and verbally abused by officers within the confines of .,high
LACK OF SERVICE,they did not receive proper service from unknown officers assigned to .,low
DEPARTMENTAL VIOLATIONS,they were falsely arrested by detectives assigned to the Homicide Unit.,medium
PHYSICAL ABUSE,they were was physically and verbally abused by an officer assigned to  while in the confines of .,high
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by an officer assigned to External Services while in the confines of .,medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by a police supervisor assigned to .,medium
DEPARTMENTAL VIOLATIONS,they did not receive proper service from an officer while in the confines of .,medium
CRIMINAL ALLEGATION,an officer assigned to  abused their child.,high
LACK OF SERVICE,in July of 2019 they did not receive proper service from unknown detectives while in the confines of .,low
DEPARTMENTAL VIOLATIONS,"detectives, assigned to the Homicide Unit, abused their police powers while in the confines of .",medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by an officer assigned to .,medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by an officer assigned to .,medium
HARASSMENT,they are being harassed by an off-duty police supervisor assigned to .,high
PHYSICAL ABUSE,they state that they were physically and verbally abused by unknown officers while in the confines of .,high
FALSIFICATION,departmental policies and their rights were violated by detectives assigned to the Homicide Unit.,medium
PHYSICAL ABUSE,"According to the complainantsofficers forcefully entered their home without permission, over a custody dispute, and attacked one of them. The complainant also states officers allowed the other party involved in the custody dispute to leave with their child.",high
LACK OF SERVICE,"officers refused to assist them with removing an individual from their property, in the confines of .",low
DEPARTMENTAL VIOLATIONS,they attempted to request police assistance by calling 911 and later going to . The complainant is hearing impaired and was not provided with a means of effective communication.,medium
UNPROFESSIONAL CONDUCT,"they were involved in a verbal dispute with an officer. The complainant states that when they requested the officers badge number they were told, Â¿My badge number is suck my d*ck!Â¿",medium
PHYSICAL ABUSE,they were tasered by officers then 302Â¿d without justification. The complainant also states they had their vehicle at the time of this police encounter and have not been able to locate their vehicle since.,high
LACK OF SERVICE,officers refused to issue an individual with a citation and instead informed that individual to sue the complainant.,low
UNPROFESSIONAL CONDUCT,"they arrived at  to seek help for their child, who was going through a mental crisis. The complainant states the officer they spoke to was rude and dismissive towards them before walking away.",medium
VERBAL ABUSE,"they were stopped by police, who then bullied and did not allow them to speak. The complainant also states one of the officers refused to provide their badge number.",medium
PHYSICAL ABUSE,"they were thrown in the air then picked up and thrown into their vehicle by an officer. The officer then told the complainant, Â¿Get the f*ck out of here,Â¿ while in the confines of .",high
LACK OF SERVICE,they attempted to report an auto accident to an officer at  but the officer only took the statement of the other party involved in the accident.,low
UNPROFESSIONAL CONDUCT,"a police car was driving very aggressively behind them and realized that that officer was pulling them over. The police car stayed behind the complainantÂ¿s vehicle for about five minutes, before pulling up alongside of them very slowly and shining a light in their face. A voice came over the PA system from the police vehicle and loudly said to put your hands on the wheel, several times. The voice, then said, Â¿DonÂ¿t make me give you a citation for aggressive driving.Â¿ The police vehicle then sped off.",medium
PHYSICAL ABUSE,"the complainant was slapped and punched in the face by an officer. The complainant was then tackled and jumped by more than six officers. The complainant was also punched and kicked by officers. Officers on location claimed that their body cameras were dead. The complainant at one point was lifted and slammed to the ground by an officer, causing several teeth to crack.",high
PHYSICAL ABUSE,"they observed a person attempt to climb a traffic pole when officers yanked the person down, without any warning. The complainant states the person sustained injuries to both arms and fled from the officers.",high
LACK OF SERVICE,"The complainant was involved in a car accident and taken to the hospital by EMTs, before police arrived on the scene. Officers towed the complainantÂ¿s vehicle but did not get the proper information from the tow truck operator and to this day, the vehicle still has not been found. The complainant was not allowed to file a stolen auto report. The complainantÂ¿s insurance company will not pay for the vehicle because there is no stolen auto report.",low
DEPARTMENTAL VIOLATIONS,"they parked their vehicle and went inside of a friendÂ¿s house. The complainant returned and noticed officers searching the vehicle. The officers took $7500.00 United States Currency, a registered firearm and the car rental agreement from the vehicle. When the complainant calls the police, officers will not give any information and then they say to stop calling because they could be charged.",medium
LACK OF SERVICE,they were involved in an auto accident while within the confines of . The complainant states the driver of the vehicle that struck them was suspected of being under the influence of alcohol. The complainant states that the officer who responded failed to properly investigate the matter.,low
PHYSICAL ABUSE,"they called police to follow up on a prior incident. When officers arrived, they discovered that the complainants neighbor, who previously assaulted the complainant, had a warrant. The officers arrested the neighbor. The complainant states one of the officers grabbed their arm and forced them into a hallway.",high
LACK OF SERVICE,"The complainant was struck by a vehicle while walking. Witnesses called 911 and medics arrived transporting the complainant to the hospital. Officers did not come to the scene nor did they go to the hospital to take his report. The complainant called 911 two or three times before an officer arrived to take the accident report. The complainant followed up with the accident unit several times about the video footage, asking them to go out to the scene. The complainant was later informed that someone had gone out to the scene, but was told that all the security footage had rolled over and there was nothing to be done about the situation.",low
VERBAL ABUSE,they were verbally abused by officers assigned to .,medium
PHYSICAL ABUSE,they were harassed and physically abused by officers assigned to .,high
DEPARTMENTAL VIOLATIONS,they were treated unprofessionally by officers assigned to .,medium
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
DEPARTMENTAL VIOLATIONS,proper police procedures were not followed by an officer assigned to .,medium
PHYSICAL ABUSE,they were treated unprofessionally by an off duty officer assigned to .,high
DEPARTMENTAL VIOLATIONS,proper police procedures were not followed by officers assigned to .,medium
PHYSICAL ABUSE,they were physically abused by an officer assigned to .,high
PHYSICAL ABUSE,they were verbally and physically abused by officers assigned to .,high
DOMESTIC,they were verbally and physically abused by an off duty officer assigned to .,high
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
HARASSMENT,for the past seven years they have been harassed by an officer assigned to .,high
PHYSICAL ABUSE,they were verbally and physically abused by the officers assigned to .,high
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,they were improperly stopped by officers assigned to .,medium
LACK OF SERVICE,they did not receive proper service from officers assigned to the Center City District.,low
DEPARTMENTAL VIOLATIONS,their home was improperly searched and they were physically abused by a detective and a supervisor assigned to Northwest Detectives.,medium
PHYSICAL ABUSE,they were physically abused by officers assigned to Highway Patrol.,high
LACK OF SERVICE,they were treated unprofessionally by a sergeant and other officers assigned to .,low
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
PHYSICAL ABUSE,they were physically abused by an officer assigned to .,high
UNPROFESSIONAL CONDUCT,they were treated rudely by officers assigned to Highway Patrol.,medium
UNPROFESSIONAL CONDUCT,they were treated unprofessionally by a corporal and an officer assigned to .,medium
PHYSICAL ABUSE,they were physically abused by an officer assigned to .,high
PHYSICAL ABUSE,they were physically abused by officers assigned to the Narcotics Strike Force.,high
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
CRIMINAL ALLEGATION,they were not given their property back and was verbally abused by officers assigned to .,high
PHYSICAL ABUSE,they were physically abused by a detective assigned to South Detective Division.,high
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
LACK OF SERVICE,they did not receive proper service from officers assigned to .,low
DEPARTMENTAL VIOLATIONS,proper police procedures were not followed by officers assigned to .,medium
VERBAL ABUSE,they were verbally abused by an officer assigned to Highway Patrol.,medium
PHYSICAL ABUSE,they were verbally and physically abused by detectives assigned to Northeast Detective Division.,high
NON-INVESTIGATORY INCIDENT,they were falsely arrested by officers assigned to .,low
PHYSICAL ABUSE,they were physically abused by officers assigned to .,high
PHYSICAL ABUSE,they were verbally and physically abused by an officer assigned to Highway Patrol.,high
CIVIL RIGHTS COMPLAINT,they were racially profiled by an officer assigned to .,low
PHYSICAL ABUSE,"they were harassed, improperly ticketed and physically abused by officers assigned to .",high
NON-INVESTIGATORY INCIDENT,their property was not returned to them after they were arrested by officers assigned to .,low
PHYSICAL ABUSE,they are missing property and they were physically abused by an officer assigned to Highway Patrol.,high
VERBAL ABUSE,they were verbally abused by an officer assigned to .,medium
NON-INVESTIGATORY INCIDENT,an officer assigned to the Center City District did not follow proper police procedure.,low
CRIMINAL ALLEGATION,they were treated unprofessionally by an off-duty officer assigned to the Narcotics Field Unit.,high
DEPARTMENTAL VIOLATIONS,they were verbally abused and falsely detained by officers assigned to .,medium
LACK OF SERVICE,911 dispatchers assigned to the Radio Room were rude and dismissive.,low
LACK OF SERVICE,they did not receive proper service from an officer assigned to .,low
HARASSMENT,"they have been falsely arrested, harassed and verbally abused by officers assigned to .",high
